pl_name,hostname,default_flag,disposition,disp_refname,pl_orbper,pl_rade,pl_radj,ttv_flag,st_teff,st_rad,st_mass,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
EPIC 201238110.01,EPIC 201238110,0,CANDIDATE,Kruse et al. 2019,7.9069606,3.02,0.26942635,0.0,3772.0,0.52,0.88,4.49249,159.259,16.014,11.933,15.2612
EPIC 201238110.01,EPIC 201238110,1,CANDIDATE,Kruse et al. 2019,7.90417,2.06,0.184,0.0,5284.0,0.374,0.88,4.49249,159.259,16.014,11.933,15.2612
EPIC 201238163.01,EPIC 201238163,1,CANDIDATE,Vanderburg et al. 2016,1.0829614,1.56,0.13917388,0.0,3875.0,0.56,0.88,4.49249,299.406,15.657,12.282,15.1848
EPIC 201239401.01,EPIC 201239401,0,CANDIDATE,Kruse et al. 2019,0.90552205,1.52,0.13560532,0.0,3710.0,0.5,0.88,4.49249,190.075,15.731,11.735,14.9247
EPIC 201239401.01,EPIC 201239401,1,CANDIDATE,Kruse et al. 2019,0.905655,1.57,0.14,0.0,5284.0,0.576,0.88,4.49249,190.075,15.731,11.735,14.9247
EPIC 201247497.01,EPIC 201247497,1,CANDIDATE,Kruse et al. 2019,2.75421,8.4,0.75,0.0,5284.0,0.89,0.88,4.49249,793.131,17.3749,13.748,16.7664
EPIC 201247497.01,EPIC 201247497,0,CANDIDATE,Kruse et al. 2019,2.75391,3.78,0.337,0.0,3918.0,0.436,0.88,4.846,793.131,17.3749,13.748,16.7664
EPIC 201247497.01,EPIC 201247497,0,CANDIDATE,Kruse et al. 2019,2.7541129,4.87,0.4344723,0.0,3834.0,0.55,0.88,4.49249,793.131,17.3749,13.748,16.7664
EPIC 201257461.01,EPIC 201257461,1,FALSE POSITIVE,Montet et al. 2015,50.285869,3.47,0.30957266,0.0,4859.0,0.74,0.88,4.49249,829.248,11.668,9.368,11.5044
EPIC 201257461.01,EPIC 201257461,0,FALSE POSITIVE,Montet et al. 2015,50.27762,209.52,18.692,0.0,5141.0,10.96,0.88,4.49249,829.248,11.668,9.368,11.5044
EPIC 201258341.01,EPIC 201258341,1,CANDIDATE,Kruse et al. 2019,10.50439,1.75,0.156,0.0,5284.0,0.878,0.88,4.49249,84.947,9.996,8.166,9.78271
EPIC 201259803.01,EPIC 201259803,1,CANDIDATE,Kruse et al. 2019,1.684208,5.51,0.492,0.0,5284.0,0.431,0.88,4.49249,325.636,16.809,12.941,16.2552
EPIC 201264302.01,EPIC 201264302,0,CANDIDATE,Kruse et al. 2019,0.21219899,1.05,0.09367473,0.0,3468.0,0.37,0.88,4.49249,71.8937,14.898,10.357,13.8198
EPIC 201264302.01,EPIC 201264302,0,CANDIDATE,Kruse et al. 2019,0.212194,0.77,0.069,0.0,3299.0,0.26,0.88,5.106,71.8937,14.898,10.357,13.8198
EPIC 201264302.01,EPIC 201264302,1,CANDIDATE,Kruse et al. 2019,0.2122013,0.519,0.0463,0.0,5284.0,0.188,0.88,4.49249,71.8937,14.898,10.357,13.8198
EPIC 201270176.01,EPIC 201270176,0,CANDIDATE,Barros et al. 2016,1.5778643,7.55,0.67356588,0.0,4811.0,0.73,0.88,4.49249,290.883,12.605,10.401,12.2983
EPIC 201270176.01,EPIC 201270176,1,CANDIDATE,Barros et al. 2016,1.57771549,2.597,0.23017258,0.0,5163.0,1.15585,0.87,4.25178,290.883,12.605,10.401,12.2983
EPIC 201270464.01,HIP 55390,1,CANDIDATE,Barros et al. 2016,1.57771549,2.597,0.23017258,0.0,7333.0,2.56752,1.66,3.83915,307.784,9.12,8.438,9.0828
EPIC 201274010.01,EPIC 201274010,1,CANDIDATE,Livingston et al. 2018,13.0113,2.43,0.217,0.0,5347.0,0.880221,0.92,4.51267,501.257,14.003,12.194,13.8764
EPIC 201291843.01,EPIC 201291843,1,CANDIDATE,Barros et al. 2016,40.70206194,2.597,0.23017258,0.0,3759.0,0.572892,0.565387,4.67427,118.959,14.418,10.591,13.6506
EPIC 201299088.01,EPIC 201299088,1,CANDIDATE,Mayo et al. 2018,21.204739,9.11013939,0.81,0.0,5154.0,1.761722,0.88,3.91,573.991,11.965,9.8,11.7673
EPIC 201324549.01,EPIC 201324549,0,FALSE POSITIVE,Crossfield et al. 2016,2.5194039,7.65729,0.68313883,0.0,6380.0,1.76,0.88,4.49249,476.884,12.293,10.89,12.1049
EPIC 201324549.01,EPIC 201324549,0,FALSE POSITIVE,Crossfield et al. 2016,2.5194078,7.99,0.71282006,0.0,7119.0,1.72,0.88,4.49249,476.884,12.293,10.89,12.1049
EPIC 201324549.01,EPIC 201324549,0,FALSE POSITIVE,Crossfield et al. 2016,2.51881781,2.597,0.23017258,0.0,6380.0,1.76277,0.88,4.49249,476.884,12.293,10.89,12.1049
EPIC 201324549.01,EPIC 201324549,0,FALSE POSITIVE,Crossfield et al. 2016,2.519334,3.91,0.349,0.0,6283.0,1.45,0.88,4.17,476.884,12.293,10.89,12.1049
EPIC 201324549.01,EPIC 201324549,1,FALSE POSITIVE,Crossfield et al. 2016,2.519386,19.6,1.75,0.0,5284.0,2.03,0.88,4.49249,476.884,12.293,10.89,12.1049
EPIC 201352100.01,EPIC 201352100,0,CANDIDATE,Livingston et al. 2018,13.383629,2.87289326,0.26,0.0,5216.0,0.815235,0.88,4.7,194.195,13.002,10.708,12.6813
EPIC 201352100.01,EPIC 201352100,1,CANDIDATE,Livingston et al. 2018,13.38382,2.7,0.24,0.0,5113.71,0.65973,0.86,4.73383,194.195,13.002,10.708,12.6813
EPIC 201357835.01,EPIC 201357835,1,CANDIDATE,Zink et al. 2019,11.8951,2.597,0.23017258,0.0,5040.0,0.68,0.88,4.49249,449.79,12.788,11.271,12.627
EPIC 201359834.01,EPIC 201359834,1,CANDIDATE,Kruse et al. 2019,40.1401,20.8,1.86,0.0,5284.0,0.716,0.88,4.49249,342.596,16.153,12.567,15.5853
EPIC 201366540.01,EPIC 201366540,1,CANDIDATE,Kruse et al. 2019,7.4433,2.73,0.244,0.0,5284.0,0.724,0.88,4.49249,328.871,15.374,12.165,14.943
EPIC 201390927.01,EPIC 201390927,1,CANDIDATE,Livingston et al. 2018,2.638,2.91,0.26,0.0,4264.47,0.863,0.88,4.49249,264.78,14.872,11.39,14.4164
EPIC 201392505.01,EPIC 201392505,1,CANDIDATE,Livingston et al. 2018,27.47083,3.36,0.3,0.0,4947.03,0.749863,0.81,4.59659,273.773,13.687,11.282,13.3313
EPIC 201407812.01,EPIC 201407812,1,CANDIDATE,Vanderburg et al. 2016,2.8268121,40.1,3.57748238,0.0,5736.0,0.98,0.88,4.49249,649.666,12.137,10.399,11.8038
EPIC 201427007 b,EPIC 201427007,1,CONFIRMED,Adams et al. 2021,0.72091,1.5,0.13382127,0.0,5633.0,0.94,0.88,4.4,706.391,14.321,12.581,14.147
EPIC 201441872.01,EPIC 201441872,0,CANDIDATE,Kruse et al. 2019,4.441258,1.12422498,0.1,0.0,5450.0,0.833852,0.88,4.54,243.084,11.838,10.484,11.9904
EPIC 201441872.01,EPIC 201441872,0,CANDIDATE,Kruse et al. 2019,4.4416421,1.17,0.10438041,0.0,5547.0,0.9,0.88,4.49249,243.084,11.838,10.484,11.9904
EPIC 201441872.01,EPIC 201441872,1,CANDIDATE,Kruse et al. 2019,4.44044,1.32,0.118,0.0,5284.0,1.053,0.88,4.49249,243.084,11.838,10.484,11.9904
EPIC 201445732.01,EPIC 201445732,1,CANDIDATE,Kruse et al. 2019,11.20381,2.18,0.194,0.0,5284.0,1.1,0.88,4.49249,325.849,12.238,10.496,11.8803
EPIC 201456770.01,EPIC 201456770,1,CANDIDATE,Zink et al. 2021,8.006875,2.384,0.2126866,0.0,5403.0,0.846,0.904,4.538,511.581,14.285,12.283,13.9771
EPIC 201488365.01,HIP 54766,1,CANDIDATE,Vanderburg et al. 2016,3.3643115,85.6,7.63672049,0.0,6240.0,1.32,0.88,4.49249,147.352,8.45,7.211,8.32033
EPIC 201497682 b,EPIC 201497682,1,CONFIRMED,Heller et al. 2019,2.13174,0.692,0.0617361,0.0,5284.0,0.863,0.78,4.49249,253.026,13.948,11.438,13.7368
EPIC 201497682.01,EPIC 201497682,0,CANDIDATE,Kruse et al. 2019,13.837814,1.96,0.17485949,0.0,4535.0,0.7,0.88,4.49249,253.026,13.948,11.438,13.7368
EPIC 201497682.01,EPIC 201497682,1,CANDIDATE,Kruse et al. 2019,13.8394,1.29,0.115,0.0,5284.0,0.554,0.88,4.49249,253.026,13.948,11.438,13.7368
EPIC 201497682.02,EPIC 201497682,0,CANDIDATE,Kruse et al. 2019,7.7991586,1.57,0.14006602,0.0,4535.0,0.7,0.88,4.49249,253.026,13.948,11.438,13.7368
EPIC 201497682.02,EPIC 201497682,1,CANDIDATE,Kruse et al. 2019,7.79983,1.37,0.122,0.0,5284.0,0.554,0.88,4.49249,253.026,13.948,11.438,13.7368
EPIC 201497682.04,EPIC 201497682,1,CANDIDATE,Kruse et al. 2019,3.883,1.06,0.09456703,0.0,5284.0,0.554,0.88,4.49249,253.026,13.948,11.438,13.7368
EPIC 201512465.01,EPIC 201512465,0,CANDIDATE,Kruse et al. 2019,2.3330982,5.48,0.48889285,0.0,3726.0,0.5,0.88,4.49249,166.356,18.96,13.362,17.4548
EPIC 201512465.01,EPIC 201512465,1,CANDIDATE,Kruse et al. 2019,2.333123,2.95,0.263,0.0,5284.0,0.224,0.88,4.49249,166.356,18.96,13.362,17.4548
EPIC 201512465.01,EPIC 201512465,0,CANDIDATE,Kruse et al. 2019,2.33293,3.2,0.29,0.0,3508.0,0.224,0.88,5.062,166.356,18.96,13.362,17.4548
EPIC 201515470.01,EPIC 201515470,1,CANDIDATE,Kruse et al. 2019,20.2073,2.12,0.189,0.0,5284.0,0.7624,0.88,4.49249,345.0,14.148,11.718,13.8304
EPIC 201516974.01,EPIC 201516974,1,CANDIDATE,Schmitt et al. 2016,36.7099,2.597,0.23017258,0.0,5069.12,5.33871,0.88,4.49249,792.41,11.496,9.270001,11.2468
EPIC 201516974.01,EPIC 201516974,0,CANDIDATE,Schmitt et al. 2016,36.762337,3.44,0.30689624,0.0,4932.0,0.75,0.88,4.49249,792.41,11.496,9.270001,11.2468
EPIC 201521212.01,EPIC 201521212,1,CANDIDATE,Zink et al. 2021,19.565799,6.412,0.57204131,0.0,4486.0,0.854,1.193,4.652,264.78,12.977,15.223,12.6702
EPIC 201528215.01,EPIC 201528215,0,CANDIDATE,Kruse et al. 2019,6.3991398,1.85,0.16504595,0.0,5210.0,0.8,0.88,4.49249,333.838,13.978,11.711,13.4754
EPIC 201528215.01,EPIC 201528215,1,CANDIDATE,Kruse et al. 2019,6.39916,1.48,0.132,0.0,5284.0,0.7006,0.88,4.49249,333.838,13.978,11.711,13.4754
EPIC 201534540.01,EPIC 201534540,1,CANDIDATE,Barros et al. 2016,2.72273204,2.597,0.23017258,0.0,8002.0,2.85976,1.93,3.81097,262.833,8.162,7.488,8.18417
EPIC 201541160.01,EPIC 201541160,1,CANDIDATE,Zink et al. 2021,15.695142,2.028,0.18092635,0.0,4270.0,0.625,0.743,4.719,197.438,14.263,11.226,13.7783
EPIC 201543531.01,EPIC 201543531,1,CANDIDATE,Kruse et al. 2019,2.48038,1.44,0.128,0.0,5284.0,1.27,0.88,4.49249,415.742,12.158,10.708,11.9456
EPIC 201546136.01,EPIC 201546136,0,CANDIDATE,Kruse et al. 2019,1.9668579,1.51,0.13471318,0.0,5063.0,0.77,0.88,4.49249,410.984,14.384,11.951,13.8303
EPIC 201546136.01,EPIC 201546136,1,CANDIDATE,Kruse et al. 2019,1.96712,1.73,0.154,0.0,5284.0,0.826,0.88,4.49249,410.984,14.384,11.951,13.8303
EPIC 201555883.01,EPIC 201555883,1,FALSE POSITIVE,Montet et al. 2015,6.788,2.597,0.23017258,0.0,4419.0,0.52,0.88,4.49249,527.641,15.484,12.431,15.0199
EPIC 201556134.01,EPIC 201556134,1,CANDIDATE,Vanderburg et al. 2016,12.726743,1.91,0.17039879,0.0,4767.0,0.73,0.88,4.49249,393.612,14.882,12.201,14.3001
EPIC 201561956.01,EPIC 201561956,1,CANDIDATE,Kruse et al. 2019,13.2359,2.09,0.186,0.0,5284.0,0.924,0.88,4.49249,690.858,14.377,12.658,14.0478
EPIC 201563164.01,EPIC 201563164,1,CANDIDATE,Vanderburg et al. 2016,0.18746328,217.0,19.3594433,0.0,46696.0,17.27,0.88,4.49249,141.166,17.1899,10.711500000000001,17.1671
EPIC 201565013.01,EPIC 201565013,0,CANDIDATE,Kruse et al. 2019,8.63829,6.81,0.608,0.0,3960.0,0.438,0.88,4.844,1338.23,17.4584,14.084,16.8969
EPIC 201565013.01,EPIC 201565013,0,CANDIDATE,Kruse et al. 2019,8.6382631,8.53,0.76099563,0.0,3720.0,0.5,0.88,4.49249,1338.23,17.4584,14.084,16.8969
EPIC 201565013.01,EPIC 201565013,0,CANDIDATE,Kruse et al. 2019,8.6381,15.99,1.427,0.0,3987.0,0.5,0.88,4.49249,1338.23,17.4584,14.084,16.8969
EPIC 201565013.01,EPIC 201565013,1,CANDIDATE,Kruse et al. 2019,8.63795,15.1,1.35,0.0,5284.0,0.438,0.88,4.49249,1338.23,17.4584,14.084,16.8969
EPIC 201569483.01,EPIC 201569483,1,FALSE POSITIVE,Montet et al. 2015,5.7968861,24.2,2.15897939,0.0,4721.0,0.72,0.88,4.49249,233.55,12.329,9.883,11.7062
EPIC 201569483.01,EPIC 201569483,0,FALSE POSITIVE,Montet et al. 2015,5.79687,27.81,2.481,0.0,5192.0,0.79,0.88,4.49249,233.55,12.329,9.883,11.7062
EPIC 201577017.01,EPIC 201577017,1,CANDIDATE,Kruse et al. 2019,0.4775252,20.1,1.79,0.0,5284.0,0.522,0.88,4.49249,264.78,15.528,12.139,14.9507
EPIC 201577112.01,EPIC 201577112,1,CANDIDATE,Kruse et al. 2019,44.394,4.07,0.363,0.0,5284.0,0.318,0.88,4.49249,199.162,18.1,12.995,16.6412
EPIC 201577112.01,EPIC 201577112,0,CANDIDATE,Kruse et al. 2019,22.197992,5.34,0.47640289,0.0,3508.0,0.4,0.88,4.49249,199.162,18.1,12.995,16.6412
EPIC 201588420.01,EPIC 201588420,0,CANDIDATE,Kruse et al. 2019,3.2908998,1.57,0.14006602,0.0,4671.0,0.72,0.88,4.49249,219.562,13.733,11.122,13.3201
EPIC 201588420.01,EPIC 201588420,1,CANDIDATE,Kruse et al. 2019,3.29163,1.17,0.104,0.0,5284.0,0.567,0.88,4.49249,219.562,13.733,11.122,13.3201
EPIC 201595106 b,EPIC 201595106,0,CONFIRMED,Adams et al. 2021,0.877214,1.3,0.11597843,0.0,5820.0,0.93,0.88,4.6,232.1,11.746,10.218,11.6477
EPIC 201595106 b,EPIC 201595106,1,CONFIRMED,Adams et al. 2021,0.87724,1.565,0.13962019,0.0,5679.0,0.98,0.958,4.435,232.1,11.746,10.218,11.6477
EPIC 201595106 b,EPIC 201595106,0,CONFIRMED,Adams et al. 2021,0.877183,1.40575209,0.13,0.0,5705.0,0.932487,0.88,4.48,232.1,11.746,10.218,11.6477
EPIC 201595106 b,EPIC 201595106,0,CONFIRMED,Adams et al. 2021,0.87703,1.2,0.11,0.0,5711.17,0.990833,1.018,4.45381,232.1,11.746,10.218,11.6477
EPIC 201596733.01,EPIC 201596733,1,CANDIDATE,Kruse et al. 2019,2.896528,1.45,0.129,0.0,5284.0,0.242,0.88,4.49249,113.012,15.346,10.763,14.2008
EPIC 201596733.01,EPIC 201596733,0,CANDIDATE,Kruse et al. 2019,2.89607106,2.597,0.23017258,0.0,3565.0,0.524138,0.521398,4.71635,113.012,15.346,10.763,14.2008
EPIC 201596733.01,EPIC 201596733,0,CANDIDATE,Kruse et al. 2019,2.8964139,2.45,0.21857436,0.0,3547.0,0.42,0.88,4.49249,113.012,15.346,10.763,14.2008
EPIC 201606542.01,EPIC 201606542,1,CANDIDATE,Adams et al. 2016,0.444372,1.22,0.109,0.0,5540.0,0.82,0.88,4.81,254.555,12.183,10.191,11.9479
EPIC 201606542.01,EPIC 201606542,0,CANDIDATE,Adams et al. 2016,0.44433632,1.01,0.09010616,0.0,5208.0,0.8,0.88,4.49249,254.555,12.183,10.191,11.9479
EPIC 201615463 c,K2-166,1,CONFIRMED,Heller et al. 2019,3.80464,1.22,0.10884111,0.0,5284.0,0.863,1.073,4.49249,476.882,12.081,10.637,11.9456
EPIC 201617985.01,EPIC 201617985,0,CANDIDATE,Kruse et al. 2019,7.28161,1.78,0.159,0.0,3742.0,0.49,0.88,4.49249,126.182,14.796,10.9,14.0514
EPIC 201617985.01,EPIC 201617985,0,CANDIDATE,Kruse et al. 2019,7.28116,1.79,0.16,0.0,3726.0,0.541438,0.537488,4.70134,126.182,14.796,10.9,14.0514
EPIC 201617985.01,EPIC 201617985,0,CANDIDATE,Kruse et al. 2019,7.28131,1.9,0.16950665,0.0,3748.0,0.51,0.88,4.49249,126.182,14.796,10.9,14.0514
EPIC 201617985.01,EPIC 201617985,0,CANDIDATE,Kruse et al. 2019,7.28138,17.0,1.5,0.0,3784.0,0.399,0.88,4.883,126.182,14.796,10.9,14.0514
EPIC 201617985.01,EPIC 201617985,1,CANDIDATE,Kruse et al. 2019,7.28076,2.6,0.23,0.0,5284.0,0.399,0.88,4.49249,126.182,14.796,10.9,14.0514
EPIC 201619647.01,EPIC 201619647,1,CANDIDATE,Kruse et al. 2019,4.58328,2.21,0.197,0.0,5284.0,0.545,0.88,4.49249,203.223,15.375,11.587,14.635
EPIC 201619647.02,EPIC 201619647,1,CANDIDATE,Kruse et al. 2019,1.65336,1.51,0.135,0.0,5284.0,0.545,0.88,4.49249,203.223,15.375,11.587,14.635
EPIC 201626686.01,EPIC 201626686,0,CANDIDATE,Barros et al. 2016,5.28081,10.9,0.97,0.0,6227.0,3.01,0.88,3.676,649.935,11.083,10.23,11.4346
EPIC 201626686.01,EPIC 201626686,1,CANDIDATE,Barros et al. 2016,5.28130579,2.597,0.23017258,0.0,6161.41,2.66957,1.17,3.65337,649.935,11.083,10.23,11.4346
EPIC 201631267.01,EPIC 201631267,1,CANDIDATE,Osborn et al. 2016,440.0,16.3,1.45,0.0,4600.0,0.85,0.88,4.49249,1217.96,12.986,10.734,12.771
EPIC 201635132.01,EPIC 201635132,1,CANDIDATE,Osborn et al. 2016,30.0,22.8,2.03,0.0,3400.0,0.89,0.88,4.49249,229.954,15.84,12.111,15.0949
EPIC 201635132.02,EPIC 201635132,1,CANDIDATE,Kruse et al. 2019,6.788,24.9,2.22,0.0,5284.0,0.6009,0.88,4.49249,229.954,15.84,12.111,15.0949
EPIC 201639576.01,EPIC 201639576,1,CANDIDATE,Zink et al. 2021,7.655533,2.328,0.20769061,0.0,5114.0,0.751,1.004,4.687,495.707,14.699,12.55,14.4478
EPIC 201649426.01,EPIC 201649426,1,FALSE POSITIVE,Montet et al. 2015,27.770388,25.1,2.23927201,0.0,4598.0,0.71,0.88,4.49249,252.383,13.595,10.941,13.2049
EPIC 201649426.01,EPIC 201649426,0,FALSE POSITIVE,Montet et al. 2015,27.77045,32.79,2.925,0.0,5086.0,8.15,0.88,4.49249,252.383,13.595,10.941,13.2049
EPIC 201650711.01,EPIC 201650711,0,CANDIDATE,Adams et al. 2016,0.25967056,0.742,0.06619681,0.0,3982.0,0.59,0.88,4.49249,264.78,12.92,9.309,12.6702
EPIC 201650711.01,EPIC 201650711,1,CANDIDATE,Adams et al. 2016,0.259669,0.77,0.069,0.0,4340.0,0.69,0.88,4.25,264.78,12.92,9.309,12.6702
EPIC 201650711.02,EPIC 201650711,1,CANDIDATE,Kruse et al. 2019,5.54583,0.441,0.0393,0.0,5284.0,0.34,0.88,4.49249,264.78,12.92,9.309,12.6702
EPIC 201654498.01,EPIC 201654498,1,CANDIDATE,Kruse et al. 2019,18.4502,2.52,0.225,0.0,5284.0,0.717,0.88,4.49249,340.433,15.23,12.04,14.6214
EPIC 201663879.02,K2-319,1,CANDIDATE,Castro Gonz&aacute;lez et al. 2020,35.621,1.89,0.1686148,0.0,5440.0,0.898,0.954,4.512,209.071,12.213,10.223,11.9397
EPIC 201666578.01,EPIC 201666578,1,CANDIDATE,Kruse et al. 2019,4.1333,1.2,0.11,0.0,5284.0,0.312,0.88,4.49249,114.675,16.248,11.912,15.3174
EPIC 201683540.01,EPIC 201683540,1,CANDIDATE,Vanderburg et al. 2016,1.9611469,5.93,0.52903916,0.0,4166.0,0.64,0.88,4.49249,592.204,15.355,12.347,14.9824
EPIC 201683540.01,EPIC 201683540,0,CANDIDATE,Vanderburg et al. 2016,1.96133691104,15.86577929,1.41545246,0.0,4427.0,1.06738,0.88,4.22028,592.204,15.355,12.347,14.9824
EPIC 201702477.01,EPIC 201702477,0,CANDIDATE,Crossfield et al. 2016,40.7362,7.28,0.649,0.0,5618.0,0.85,0.88,4.49249,835.716,14.647,12.766,14.391
EPIC 201702477.01,EPIC 201702477,1,CANDIDATE,Crossfield et al. 2016,40.7302,7.8,0.7,0.0,5840.0,0.98,0.88,4.44,835.716,14.647,12.766,14.391
EPIC 201705526.01,EPIC 201705526,1,CANDIDATE,Barros et al. 2016,18.10220826,2.597,0.23017258,0.0,6141.1,2.04778,1.164,3.88145,235.679,9.9,8.491,9.76589
EPIC 201717159.01,EPIC 201717159,1,CANDIDATE,Vanderburg et al. 2016,0.60408352,2.26,0.2016237,0.0,4331.0,0.67,0.88,4.49249,370.696,16.736,12.967,15.9321
EPIC 201717274.01,EPIC 201717274,0,CANDIDATE,Kruse et al. 2019,3.52743,1.11,0.099,0.0,3624.0,0.257,0.88,5.014,124.872,16.63,12.153,15.6549
EPIC 201717274.01,EPIC 201717274,1,CANDIDATE,Kruse et al. 2019,3.52725,1.21,0.108,0.0,5284.0,0.257,0.88,4.49249,124.872,16.63,12.153,15.6549
EPIC 201717274.01,EPIC 201717274,0,CANDIDATE,Kruse et al. 2019,3.52674,1.32,0.118,0.0,3413.0,0.350987,0.335348,4.87298,124.872,16.63,12.153,15.6549
EPIC 201717274.01,EPIC 201717274,0,CANDIDATE,Kruse et al. 2019,3.5269024,2.98,0.26585779,0.0,4332.0,0.67,0.88,4.49249,124.872,16.63,12.153,15.6549
EPIC 201720401.01,EPIC 201720401,1,CANDIDATE,Osborn et al. 2016,6340.0,12.8,1.14,0.0,4800.0,0.88,0.88,4.49249,2864.21,14.864,12.755,14.6744
EPIC 201729655.01,EPIC 201729655,1,CANDIDATE,Zink et al. 2021,9.321691,17.325,1.54563563,0.0,5089.0,0.678,0.787,4.712,264.78,20.5561,10.711500000000001,20.2478
EPIC 201732557.01,EPIC 201732557,1,CANDIDATE,Kruse et al. 2019,6.662,1.59,0.142,0.0,5284.0,0.483,0.88,4.49249,242.573,16.153,12.128,15.4615
EPIC 201754305 d,K2-16,1,CONFIRMED,Heller et al. 2019,2.71578,1.03,0.09189045,0.0,5284.0,0.863,0.67,4.49249,334.967,14.668,12.087,14.3234
EPIC 201757695.02,EPIC 201757695,1,CONFIRMED,del Ser &amp; Fors 2020,2.0478,0.90819,0.08102328,0.0,4520.0,0.655,0.727,4.659,264.78,14.974,12.149,12.6702
